state_code,stname,Area
1,JAMMU & KASHMIR,42241
2,HIMACHAL PRADESH,55673
3,PUNJAB,50362
4,CHANDIGARH,114
5,UTTARAKHAND,53483
6,HARYANA,44212
7,DELHI,1483
8,RAJASTHAN,342239
9,UTTAR PRADESH,240928
10,BIHAR,94163
11,SIKKIM,7096
12,ARUNACHAL PRADESH,160205
13,NAGALAND,16579
14,MANIPUR,22327
15,MIZORAM,21081
16,TRIPURA,10486
17,MEGHALAYA,22429
18,ASSAM,78438
19,WEST BENGAL,88752
20,JHARKHAND,79714
21,ODISHA,155707
22,CHHATTISGARH,135191
23,MADHYA PRADESH,308252
24,GUJARAT,196024
25,DAMAN & DIU,401
26,DADRA & NAGAR HAVELI,202
27,MAHARASHTRA,307713
28,ANDHRA PRADESH,160205
29,KARNATAKA,191791
30,GOA,3702
31,LAKSHADWEEP,32
32,KERALA,38863
33,TAMIL NADU,130058
34,PUDUCHERRY,479
35,ANDAMAN & NICOBAR ISLANDS,8249
36,TELANGANA,112077
