State_code,Subdistrict_name,Household_income_annual
1,JAMMU & KASHMIR,133000
2,HIMACHAL PRADESH,216000
3,PUNJAB,174000
4,CHANDIGARH,406000
5,UTTARAKHAND,234000
6,HARYANA,297000
7,DELHI,444000
8,RAJASTHAN,156000
9,UTTAR PRADESH,79000
10,BIHAR,57000
11,SIKKIM,549000
12,ARUNACHAL PRADESH,248000
13,NAGALAND,163000
14,MANIPUR,90000
15,MIZORAM,192000
16,TRIPURA,168000
17,MEGHALAYA,99000
18,ASSAM,118000
19,WEST BENGAL,141000
20,JHARKHAND,84000
21,ODISHA,151000
22,CHHATTISGARH,134000
23,MADHYA PRADESH,141000
24,GUJARAT,285000
25,DAMAN & DIU,50000
26,DADRA & NAGAR HAVELI,50000
27,MAHARASHTRA,242000
28,ANDHRA PRADESH,219000
29,KARNATAKA,302000
30,GOA,502000
31,LAKSHADWEEP,50000
32,KERALA,269000
33,TAMIL NADU,273000
34,PUDUCHERRY,50000
35,ANDAMAN & NICOBAR ISLANDS,232000
36,TELANGANA,309000
